Perceptron

type,Precision,Recall,F1,Accuracy,T,K,Mistakes,Iteration
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.0588235294,100,1000,0.001,1000,34
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.1428571429,100,1000,0.001,1000,35
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.2222222222,100,1000,0.001,1000,36
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.2972972973,100,1000,0.001,1000,37
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.3684210526,100,1000,0.001,1000,38
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.4358974359,100,1000,0.001,1000,39
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.5,100,1000,0.001,1000,40
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.5609756098,100,1000,0.001,1000,41
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.619047619,100,1000,0.001,1000,42
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.6744186047,100,1000,0.001,1000,43
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.7272727273,100,1000,0.001,1000,44
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.7777777778,100,1000,0.001,1000,45
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.8260869565,100,1000,0.001,1000,46
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.8723404255,100,1000,0.001,1000,47
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.9166666667,100,1000,0.001,1000,48
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,97.9591836735,100,1000,0.001,1000,49
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.0,100,1000,0.001,1000,50
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.0392156863,100,1000,0.001,1000,51
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.0769230769,100,1000,0.001,1000,52
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.1132075472,100,1000,0.001,1000,53
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.1481481481,100,1000,0.001,1000,54
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.1818181818,100,1000,0.001,1000,55
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.2142857143,100,1000,0.001,1000,56
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.2456140351,100,1000,0.001,1000,57
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.275862069,100,1000,0.001,1000,58
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.3050847458,100,1000,0.001,1000,59
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.3333333333,100,1000,0.001,1000,60
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.3606557377,100,1000,0.001,1000,61
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.3870967742,100,1000,0.001,1000,62
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.4126984127,100,1000,0.001,1000,63
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.4375,100,1000,0.001,1000,64
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.4615384615,100,1000,0.001,1000,65
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.4848484848,100,1000,0.001,1000,66
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.5074626866,100,1000,0.001,1000,67
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.5294117647,100,1000,0.001,1000,68
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.5507246377,100,1000,0.001,1000,69
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.5714285714,100,1000,0.001,1000,70
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.5915492958,100,1000,0.001,1000,71
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.6111111111,100,1000,0.001,1000,72
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.6301369863,100,1000,0.001,1000,73
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.6486486486,100,1000,0.001,1000,74
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.6666666667,100,1000,0.001,1000,75
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.6842105263,100,1000,0.001,1000,76
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.7012987013,100,1000,0.001,1000,77
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.7179487179,100,1000,0.001,1000,78
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.7341772152,100,1000,0.001,1000,79
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.75,100,1000,0.001,1000,80
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.7654320988,100,1000,0.001,1000,81
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.7804878049,100,1000,0.001,1000,82
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.7951807229,100,1000,0.001,1000,83
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.8095238095,100,1000,0.001,1000,84
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.8235294118,100,1000,0.001,1000,85
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.8372093023,100,1000,0.001,1000,86
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.8505747126,100,1000,0.001,1000,87
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.8636363636,100,1000,0.001,1000,88
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.8764044944,100,1000,0.001,1000,89
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
