Perceptron

Gene left out: 0157
type,Precision,Recall,F1,Accuracy,T,K,Bias,Mistakes,Iteration
train,0.575027382256,0.749286393911,0.650692005784,83.09,1,1,0,1691,1
train,0.759190417183,0.874405328259,0.812734910458,91.53,1,1,0,1694,1
train,0.832085253456,0.916270218839,0.872150943396,94.3533333333,1,1,0,1694,1
test,1.0,1.0,1.0,100.0,1,1,0,0,1
2.82714605331
